E (keV),h_k(0 deg) (Sv/Gy),h_k(15 deg) (Sv/Gy),h_k(30 deg) (Sv/Gy),h_k(45 deg) (Sv/Gy),h_k(60 deg) (Sv/Gy),h_k(75 deg) (Sv/Gy)
3,0.32,0.309,0.268,0.192,0.096,0.01
4,0.587,0.578,0.542,0.467,0.345,0.13
5,0.755,0.749,0.723,0.675,0.578,0.347
6,0.842,0.838,0.829,0.79,0.722,0.544
8,0.92,0.918,0.905,0.897,0.858,0.765
10,0.97,0.974,0.976,0.972,0.967,0.972
20,1.05,1.05,1.03,1.04,1.01,0.985
30,1.22,1.22,1.2,1.16,1.11,1.05
40,1.44,1.43,1.4,1.33,1.23,1.16
50,1.62,1.6,1.55,1.48,1.35,1.25
60,1.71,1.68,1.64,1.56,1.43,1.32
70,1.71,1.7,1.66,1.58,1.46,1.4
80,1.73,1.71,1.67,1.61,1.49,1.39
100,1.66,1.65,1.63,1.58,1.48,1.4
150,1.53,1.52,1.51,1.49,1.44,1.39
200,1.43,1.43,1.44,1.43,1.4,1.36
300,1.34,1.34,1.35,1.36,1.36,1.35
500,1.25,1.25,1.27,1.29,1.3,1.31
1000,1.17,1.18,1.19,1.21,1.25,1.25
3000,1.12,1.13,1.13,1.15,1.18,1.18
6000,1.09,1.09,1.09,1.1,1.13,1.16
10000,1.08,1.08,1.07,1.08,1.09,1.1
